technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:0012d96e;188;Tempelhof-Schöneberg;Lichtenrade;Grünanlage;Hermione-von-Preuschen-Platz;(ehem. Hohenzollernplatz);-;-;3246;gewidmet;7070705;Franziusweg/ Rohrbachstr.;0
00008100:0012db9a;18502;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Naturpark Schöneberger Südgelände;-;-;-;178983;-;7040402;Lindenhofsiedlung;1
00008100:000e39ac;101660;Steglitz-Zehlendorf;Steglitz;Grünanlage;Schildhornstraße WG;-;-;-;5918;gewidmet;6010103;Markelstr.;1
00008100:000e3738;101701;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Hortensienplatz WG;-;-;-;825;gewidmet;6030605;Botanischer Garten;0
00008100:000e3c5b;101688;Steglitz-Zehlendorf;Steglitz;Grünanlage;Neue Filandastraße WG;Albrechtstraße / Neue Filandastraße;-;-;445;gewidmet;6010208;Bergstr.;0
00008100:000e3c6b;102066;Steglitz-Zehlendorf;Steglitz;Grünanlage;Wolfensteindamm WG-2/2;Wolfensteindamm 10, südl. des Bahngeländ;-;-;1359;gewidmet;6010207;Mittelstr.;0
00008100:000e3ade;101522;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Sundgauer Straße WG;Fuchsplatz;-;-;8364;gewidmet;6030503;Zehlendorf-Mitte;1
00008100:000e3c4e;101706;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Schloßpark Lichterfelde N;Naturschutzgebiet;-;-;28727;gewidmet;6030606;Hindenburgdamm;1
00008100:000e3c27;101727;Steglitz-Zehlendorf;Steglitz;Grünanlage;Wolfensteindamm WG-1/2;nördlich des Bahngeländes;-;-;2479;gewidmet;6010102;Schloßstr.;0
00008100:000e3bf8;102111;Steglitz-Zehlendorf;Dahlem;Grünanlage;Im Winkel WG;Otto-Appel-Straße (Durchgang);-;-;341;gewidmet;6040810;Dahlem;0
00008100:000e3bf9;102107;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Döhlauer Pfad WG - Teil 2/2;Alt-Lankwitz bis Kamenzer Damm;-;-;3637;gewidmet;6020301;Alt-Lankwitz;0
00008100:000e3c44;102055;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Teltowkanalpromenade - Teil 1/3;Bäkepark bis Königsberger Straße;-;-;19605;gewidmet;6030606;Hindenburgdamm;1
00008100:000e3a1b;101654;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;"Laehr""scher Jagdweg WG (Rindenmulchweg)";Verbindungsweg zum Teltower Damm;-;-;2170;gewidmet;6030504;Teltower Damm;0
00008100:000e3866;101409;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Rehwiese N;-;-;-;150302;gewidmet;6040703;Nikolassee;1
00008100:000e3971;101190;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Grünzug am Buschgraben WG-1/3;Machnower Straße 109;-;-;33257;gewidmet;6030501;Berlepschstr.;1
00008100:000e3b88;102221;Steglitz-Zehlendorf;Wannsee;Grünanlage;Pfaueninsel;-;-;-;605900;-;6040701;Wannsee;0
00008100:0012d9a6;158;Tempelhof-Schöneberg;Tempelhof;Grünanlage;Marienhöhe - Gartendenkmal;-;-;-;41023;gewidmet;7040404;Marienhöhe;1
00008100:0012d9ba;176;Tempelhof-Schöneberg;Marienfelde;Grünanlage;Schlehenberg;-;-;-;15829;gewidmet;7060604;Marienfelde Süd;1
00008100:0012d995;259;Tempelhof-Schöneberg;Marienfelde;Grünanlage;Radarberg Diedersdorfer Weg;-;-;-;46384;gewidmet;7060604;Marienfelde Süd;1
00008100:00280b01;19259;Tempelhof-Schöneberg;Lichtenrade;Grünanlage;Mahlower Seegraben;zw. Weberstr. und Löwenbrucher Weg;-;-;641;gewidmet;7070705;Franziusweg/ Rohrbachstr.;1
00008100:000e399b;102100;Steglitz-Zehlendorf;Steglitz;Grünanlage;Grunewaldstraße WG;Rothenburgstraße / Grunewaldstraße;-;-;6602;gewidmet;6010101;Fichtenberg;1
00008100:000e373c;102084;Steglitz-Zehlendorf;Steglitz;Grünanlage;Stadtpark Steglitz - Teil 2/2;-;-;-;146379.3;gewidmet;6010206;Stadtpark;1
00008100:000e3b90;102214;Steglitz-Zehlendorf;Steglitz;Grünanlage;Grabertstraße WG;Steglitzer Damm/Grabertstraße;-;-;673;gewidmet;6010204;Munsterdamm;0
00008100:000e3865;100956;Steglitz-Zehlendorf;Dahlem;Grünanlage;Im Gehege WG;-;-;-;3236;gewidmet;6040810;Dahlem;0
00008100:000e395b;101805;Steglitz-Zehlendorf;Steglitz;Grünanlage;Stephanstraße 20-22 WG;-;-;-;2374;gewidmet;6010205;Südende;0
00008100:000e395f;101967;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Hospitalgraben WG;Malteserstraße bis Wedellstraße;-;-;7727;gewidmet;6020301;Alt-Lankwitz;1
00008100:000e3b41;101437;Steglitz-Zehlendorf;Dahlem;Grünanlage;Molsheimer Platz WG;Schützallee;-;-;3764;gewidmet;6040809;Thielallee;0
00008100:000e3b24;101453;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Paul-Ernst-Park (Östlicher Teil) N;einschließlich Wolfsschlucht;-;-;108633;gewidmet;6040804;Krumme Lanke;1
00008100:000e399d;102095;Steglitz-Zehlendorf;Steglitz;Grünanlage;Ruth-Andreas-Friedrich-Park WG;einschl. Zeunepromenade;-;-;14682;gewidmet;6010101;Fichtenberg;1
00008100:000e3c66;102072;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Oberhofer Platz WG;-;-;-;6070;gewidmet;6020410;Oberhofer Platz;1
00008100:000e3be8;102126;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Wismarer Straße 18a WG;Säule der Gefangenen;-;-;381;gewidmet;6030607;Goerzwerke;1
00008100:000e3962;101970;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Wupperstraße WG;östlich der Wupperstraße;-;-;16850;gewidmet;6030608;Schweizer Viertel;1
00008100:000e3b07;101484;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Paul-Mebes-Park WG;-;-;-;20403;gewidmet;6030503;Zehlendorf-Mitte;1
00008100:000e3b8d;102222;Steglitz-Zehlendorf;Wannsee;Grünanlage;Landschaftspark Glienicke;Pleasureground;-;-;73187;-;6040701;Wannsee;1
00008100:000e3ae8;101528;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Kronprinzessinnenweg 23 N;Uferstreifen;-;-;1832;gewidmet;6040703;Nikolassee;0
00008100:000e3992;101188;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Mörchinger Straße WG;Berliner Str. 88 bis Dahl. u. Colm. Weg;-;-;10371;gewidmet;6030503;Zehlendorf-Mitte;1
00008100:000e3a9c;100775;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Fischtalpark WG;-;-;-;88326.8;gewidmet;6040806;Fischtal;1
00008100:000e3b05;101486;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Dorfaue Zehlendorf WG;Teltower Damm / Kirchstraße;-;-;4387.7;gewidmet;6030503;Zehlendorf-Mitte;0
00008100:000e3b10;101476;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Grünzug Düppel-Süd WG;Berlepschstraße bis Neuruppiner Straße;-;-;23119.2;gewidmet;6030501;Berlepschstr.;1
00008100:0024089e;102404;Steglitz-Zehlendorf;Wannsee;Grünanlage;Königstraße 35 B;"""Pförtnerhaus 1 Glienicke""";-;-;1093;-;6040701;Wannsee;1
00008100:002409e9;102406;Steglitz-Zehlendorf;Wannsee;Grünanlage;Königstraße 35 E;"""Pförtnerhaus 3 Glienicke""";-;-;638;-;6040701;Wannsee;1
00008100:002435a4;102408;Steglitz-Zehlendorf;Steglitz;Grünanlage;Stadtpark Steglitz - Minigolfanlage;Albrechtstr. 44;-;-;1307;gewidmet;6010206;Stadtpark;1
00008100:000e3c81;101786;Steglitz-Zehlendorf;Steglitz;Grünanlage;Birkbuschgarten WG;-;-;-;1620;gewidmet;6010206;Stadtpark;1
00008100:000e3a2b;101651;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Bolchener Straße WG;Armywiese;-;-;6738;gewidmet;6030503;Zehlendorf-Mitte;1
00008100:000e39a7;102093;Steglitz-Zehlendorf;Steglitz;Grünanlage;Knausplatz WG;Thorwaldsenstraße / Knausstraße;-;-;1480;gewidmet;6010210;Bismarckstr.;0
00008100:000e39a3;102098;Steglitz-Zehlendorf;Steglitz;Grünanlage;Harry-Bresslau-Park WG;Treitschkestraße;-;-;12999;gewidmet;6010103;Markelstr.;1
00008100:000e3ad2;101461;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Zinnowweg WG;Zinnowweg;-;-;9487;gewidmet;6040805;Fischerhüttenstr.;1
00008100:000e3b3f;101459;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Marga-Meusel-Platz WG;Karl-Hofer-Straße 34;-;-;14651.9;gewidmet;6040805;Fischerhüttenstr.;1
00008100:000e3a51;100738;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Ringelsteinweg WG;zu Kleinmachnower Weg u. Andreezeile;-;-;11360;gewidmet;6030502;Zehlendorf-Süd;1
00008100:000e3a73;100729;Steglitz-Zehlendorf;Wannsee;Grünanlage;Dampferanlegestelle Wannsee N;Grünfläche am S-Bhf Wannsee;1986;-;42077.3;gewidmet;6040701;Wannsee;1
00008100:000e381a;103002;Steglitz-Zehlendorf;Wannsee;Grünanlage;Kleistgrab WG - Teil 2/2;Königstraße 70;-;-;10194.5;gewidmet;6040701;Wannsee;0
00008100:000e3897;101398;Steglitz-Zehlendorf;Wannsee;Grünanlage;Kleistgrab WG - Teil 1/2;Bismarckstraße;-;-;3891.6;gewidmet;6040701;Wannsee;0
00008100:000e3ca7;101764;Steglitz-Zehlendorf;Steglitz;Grünanlage;Jochemplatz WG;-;-;-;857;gewidmet;6010209;Feuerbachstr.;0
00008100:000e3c73;101696;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Lilienthal-Gedenkstätte WG - Teil 2/2;Schütte-Lanz-Str. bis Hildburghauser Str;-;-;72295;gewidmet;6020411;Schütte-Lanz-Str.;1
00008100:000e3747;101675;Steglitz-Zehlendorf;Steglitz;Grünanlage;Althoffplatz WG;-;-;-;4689.4;gewidmet;6010208;Bergstr.;0
00008100:000e3c61;102077;Steglitz-Zehlendorf;Steglitz;Grünanlage;Bäkepark;-;-;-;80260;gewidmet;6010207;Mittelstr.;1
00008100:000e395c;101799;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Krahmerstraße WG-2/2;Teltowkanal bis Ostpreußendamm;-;-;1960;gewidmet;6020409;Königsberger Str.;1
00008100:000e3737;102064;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Begonienplatz WG;-;-;-;2357.8;gewidmet;6030605;Botanischer Garten;0
00008100:000e3c41;102053;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Bernkastler Platz WG;-;-;-;15690;gewidmet;6020303;Lankwitz-Kirche;1
00008100:000e3bb3;102180;Steglitz-Zehlendorf;Steglitz;Grünanlage;Schünemannweg N;Schünemannweg 6A u.16A, Tuttlinger Weg;-;-;3889;gewidmet;6010205;Südende;0
00008100:000e3c82;101983;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Waltershauser Straße WG;incl. Weg an der Kolonie Lankwitz Zieten;-;-;21366;gewidmet;6020305;Gemeindepark Lankwitz;1
00008100:000e3a55;100783;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Wasgenstraße WG;Verbindung zur Tewsstr. und zur Kurstr.;-;-;8342;gewidmet;6040703;Nikolassee;1
00008100:000e383c;101434;Steglitz-Zehlendorf;Dahlem;Grünanlage;Argentinische Allee WG;Ecke Clayallee;-;-;3813;gewidmet;6040808;Hüttenweg;0
00008100:000e388a;101435;Steglitz-Zehlendorf;Dahlem;Grünanlage;Garystraße WG;Ecke Clayallee;-;-;6622;gewidmet;6040809;Thielallee;1
00008100:000e3c29;101726;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Wedellstraße WG;Verbindung Halbauer Weg und Malteserstr.;-;-;10029;gewidmet;6020305;Gemeindepark Lankwitz;0
00008100:000e399f;101670;Steglitz-Zehlendorf;Steglitz;Grünanlage;Matthäuskirche WG;Schloßstraße bis Rothenburgstraße;-;-;9526;gewidmet;6010101;Fichtenberg;1
00008100:000e39ad;101661;Steglitz-Zehlendorf;Steglitz;Grünanlage;Björnsonstraße WG;-;-;-;681;gewidmet;6010101;Fichtenberg;1
00008100:000e38a6;100959;Steglitz-Zehlendorf;Dahlem;Grünanlage;Jürgen-Fuchs-Platz WG;Platz Ecke Königin-Luise-Straße;-;-;3117;gewidmet;6040809;Thielallee;0
00008100:000e38b0;100964;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Jochen-Klepper-Weg WG - Teil 1/2;Kirchweg bis Von-Luck-Straße;-;-;6751;gewidmet;6040703;Nikolassee;1
00008100:000e3744;101677;Steglitz-Zehlendorf;Steglitz;Grünanlage;Munsterdamm WG-2/2;Ostseite;-;-;5862;gewidmet;6010204;Munsterdamm;1
00008100:000e3b8b;102219;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Grünzug am Buschgraben WG-3/3;Hegauer Weg;-;-;2306;gewidmet;6030501;Berlepschstr.;1
00008100:000e3b44;100924;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Klopstockstraße WG;Platz;-;-;654;gewidmet;6040804;Krumme Lanke;0
00008100:000e3c35;101720;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Schilfluch- / Moorgraben WG;Weg von Wismarer Str. bis Ostpreußendamm;-;-;26284.5;gewidmet;6020408;Lichterfelde-Süd;1
00008100:000e3a4f;100746;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Mexikoplatz WG;Bülowstraße bis Am Schlachtensee;-;-;2452.9;gewidmet;6040804;Krumme Lanke;0
00008100:000e3a57;100748;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Heinrich-Laehr-Park;einschl. Durchgang zur Jänickestraße;-;-;266416;gewidmet;6030504;Teltower Damm;1
00008100:000e3ae9;101519;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Von-der-Trenck-Straße 9 WG;Barnhelmstraße bis Von-der-Trenck-Straße;-;-;1219;gewidmet;6040702;Düppel;1
00008100:000e3b39;101469;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Gemeindewäldchen WG-1/2;Onkel-Tom-Straße bis Forststraße;-;-;88582.2;gewidmet;6030503;Zehlendorf-Mitte;1
00008100:000e3884;100950;Steglitz-Zehlendorf;Dahlem;Grünanlage;Am Erlenbusch WG;-;-;-;24459;gewidmet;6040810;Dahlem;1
00008100:000e3a5d;100780;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Potsdamer Chaussee WG - Teil 2/2;Lindenthaler Allee bis Am Waldhaus;-;-;37195.3;gewidmet;6040702;Düppel;0
00008100:000e3982;101195;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Yehudi-Menuhin-Park WG;Am Rohrgarten/Wiesenschlag;-;-;29352;gewidmet;6040702;Düppel;1
00008100:000e3af2;101507;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Kilstetter Straße WG;Hampsteadstraße bis Sundgauer Straße;-;-;10245;gewidmet;6030503;Zehlendorf-Mitte;1
00008100:000e385e;100970;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Krummes Fenn N;-;-;-;72807;gewidmet;6040702;Düppel;1
00008100:000e3b52;102278;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Pappritz- / Wichurastraße WG-2/2;Preysingstraße bis Malteserstraße;-;-;23047;gewidmet;6020306;Lankwitz-Süd;1
00008100:000e3b49;101438;Steglitz-Zehlendorf;Dahlem;Grünanlage;Corrensplatz WG;-;-;-;7395;gewidmet;6040809;Thielallee;1
00008100:0022d23f;102394;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Lilienthal-Gedenkstätte WG - Teil 1/2;Fliegeberg;-;-;3496;gewidmet;6020411;Schütte-Lanz-Str.;1
00008100:002435bf;102409;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Gemeindepark Lankwitz - Minigolfanlage;Paul-Schneider-Str. 52;-;-;2112;gewidmet;6020305;Gemeindepark Lankwitz;1
00008100:000e3932;101946;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Lankwitz-Stamm III WG;Dessauerstraße;-;-;543;gewidmet;6020305;Gemeindepark Lankwitz;0
00008100:000e3cc3;101753;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Pappritz- / Wichurastraße WG-1/2;Keffenbrinkweg bis Preysingstraße;-;-;19687;gewidmet;6020305;Gemeindepark Lankwitz;1
00008100:000e3aad;101515;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Breitensteinweg WG;Verbindung zum Kleinmachnower Weg;-;-;18204.3;gewidmet;6030502;Zehlendorf-Süd;1
00008100:000e3ad5;100936;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Karl-Schmidt -Rottluff-Weg WG;Berliner Straße bis Schützallee;-;-;3573;gewidmet;6040807;Zehlendorf-Eiche;0
00008100:000e3895;101423;Steglitz-Zehlendorf;Dahlem;Grünanlage;Thielpark und Triestpark Teil 1/2;Auf dem Grat bis Löhleinstraße;-;-;70692;gewidmet;6040810;Dahlem;1
00008100:000e3c50;102058;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Schwatlograben WG;Ostpreußendamm bis Barnackufer;-;-;11679;gewidmet;6020409;Königsberger Str.;1
00008100:0023875e;102403;Steglitz-Zehlendorf;Wannsee;Grünanlage;Nikolskoer Weg 3;"""Pförtnerhaus 2 Glienicke""";-;-;462.7;-;6040701;Wannsee;1
00008100:000e38a4;100944;Steglitz-Zehlendorf;Dahlem;Grünanlage;Clayallee WG;-;-;-;23301;gewidmet;6040808;Hüttenweg;0
00008100:000e3bea;102124;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Waldsee N;-;-;-;1283;gewidmet;6040804;Krumme Lanke;0
00008100:000e3ab7;101495;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Schönower Park;-;-;-;57099.5;gewidmet;6030504;Teltower Damm;1
00008100:000e3c24;102038;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Achenseeweg WG;Silzerweg / Achenseeweg;-;-;684;gewidmet;6020411;Schütte-Lanz-Str.;0
00008100:000e3c33;102044;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Apoldaer Straße WG;Hildburghauser Str. bis Trippsteinstr.;-;-;18878;gewidmet;6020306;Lankwitz-Süd;1
00008100:000e3c2c;102039;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Lankegraben WG;Wedellstraße bis Alt Lankwitz;-;-;5190;gewidmet;6020301;Alt-Lankwitz;1
00008100:000e3c96;101991;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Schilfluch- / Moorgraben N;Landschaftsschutzgebiet Lichterfelde;-;-;14606;gewidmet;6020408;Lichterfelde-Süd;1
00008100:000e3984;101182;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Onkel-Toms-Hütte N;Onkel-Tom-Straße 172;-;-;19490;gewidmet;6040804;Krumme Lanke;1
00008100:000e3a9f;101554;Steglitz-Zehlendorf;Nikolassee;Grünanlage;Hohenzollernplatz WG;S-Bhf Nikolassee bis Alemannenstraße;2016;-;3938.8;gewidmet;6040703;Nikolassee;0
00008100:000e3c7b;101980;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Osdorfer Straße N;Wasserrückhaltebecken;-;-;4161;gewidmet;6020407;Thermometersiedlung;0
00008100:002434cb;103003;Steglitz-Zehlendorf;Wannsee;Grünanlage;Landschaftspark Glienicke N - Teil 2/2;-;-;-;412206;gewidmet;6040701;Wannsee;1
00008100:000e3c90;101778;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Dessauerstraße WG;Weg zur Kolonie Alt Lankwitz;-;-;1573;gewidmet;6020305;Gemeindepark Lankwitz;0
00008100:000e3c70;101695;Steglitz-Zehlendorf;Lichterfelde;Grünanlage;Saaleckplatz WG;-;-;-;1426;gewidmet;6020411;Schütte-Lanz-Str.;0
00008100:000e3a5b;100764;Steglitz-Zehlendorf;Dahlem;Grünanlage;Am Hegewinkel WG;Ecke Am Waldfriedhof;-;-;3858;gewidmet;6040808;Hüttenweg;0
00008100:000e3be7;102127;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Stammbahn N;Benschallee bis Schrockstraße;-;-;48056;gewidmet;6030501;Berlepschstr.;1
00008100:0022d278;102395;Steglitz-Zehlendorf;Steglitz;Grünanlage;Stadtpark Steglitz - Teil 1/2;Bereich Rosengarten und Brunnen;-;-;15615.7;gewidmet;6010206;Stadtpark;1
00008100:0022d2a3;102393;Steglitz-Zehlendorf;Lankwitz;Grünanlage;Gemeindepark Lankwitz - Teil 1/2;-;-;-;20725.9;gewidmet;6020305;Gemeindepark Lankwitz;1
00008100:002435db;102412;Steglitz-Zehlendorf;Zehlendorf;Grünanlage;Rodelbahn Onkel-Tom-Straße Lokal;Onkel-Tom-Str. 167;-;-;557;gewidmet;6040806;Fischtal;1
00008100:000e374b;101684;Steglitz-Zehlendorf;Steglitz;Grünanlage;Carmerplatz WG;-;-;-;3900;gewidmet;6010207;Mittelstr.;0
00008100:000e3c8c;101779;Steglitz-Zehlendorf;Steglitz;Grünanlage;Gutsmuthsstraße WG;Hackerstraße / Guthsmuthsstraße;-;-;4578.8;gewidmet;6010103;Markelstr.;0
00008100:000e3c79;101979;Steglitz-Zehlendorf;Steglitz;Grünanlage;Bismarckstraße 50 WG;Hünesteig / Bismarkstraße;-;-;2564;gewidmet;6010204;Munsterdamm;0
00008100:000e3745;101674;Steglitz-Zehlendorf;Steglitz;Grünanlage;Friedrichsruher Platz WG;-;-;-;3521;gewidmet;6010209;Feuerbachstr.;0
00008100:000e39ab;102103;Steglitz-Zehlendorf;Steglitz;Grünanlage;Elisabeth-Bergner-Park WG;Schildhornstraße / Gritznerstraße.;-;-;6500.1;gewidmet;6010103;Markelstr.;1
00008100:0012dd10;17248;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Bayerischer Platz;-;1908;1962;6523;gewidmet;7020201;Bayerischer Platz;1
00008100:0012d97c;257;Tempelhof-Schöneberg;Marienfelde;Grünanlage;Rainfarnweg;-;-;-;6429;gewidmet;7060604;Marienfelde Süd;1
00008100:0012d9c4;252;Tempelhof-Schöneberg;Marienfelde;Grünanlage;Königsgraben;Adolf-Kiepert-Steg;-;-;60702;gewidmet;7060604;Marienfelde Süd;1
00008100:0012dcff;17273;Tempelhof-Schöneberg;Friedenau;Grünanlage;Perelsplatz - Gartendenkmal;-;1907;-;7572;gewidmet;7030301;Friedenau;0
00008100:0012d782;18051;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Dennewitzstr. 25-26 - Grünanlage;-;-;-;2715;gewidmet;7010104;Dennewitzplatz;1
00008100:0012d9d2;198;Tempelhof-Schöneberg;Lichtenrade;Grünanlage;Lichtenrader Graben West - Grünanlage;-;-;-;5388;gewidmet;7070703;John-Locke-Str.;0
00008100:0024befe;19245;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Rudolph-Wilde-Park (West) - Gartendenkmal;westl. Carl-Zuckmayer-Brücke;-;-;38875;gewidmet;7020202;Volkspark (Rudolf-Wilde-Park);1
00008100:0012d9d1;212;Tempelhof-Schöneberg;Mariendorf;Grünanlage;Wimbachpromenade;-;-;-;42034;gewidmet;7050505;Hundsteinweg;1
00008100:0012d989;250;Tempelhof-Schöneberg;Lichtenrade;Grünanlage;Carl-Steffeck-Str. (Grünzug);-;-;-;1924;gewidmet;7070704;Nahariyastr.;1
00008100:0012dc15;17240;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Heinrich-Lassen-Park;Belziger Str. 57-61;1954;-;17530;gewidmet;7020203;Kaiser-Wilhelm-Platz;1
00008100:0012d787;18046;Tempelhof-Schöneberg;Lichtenrade;Grünanlage;Lortzingplatz - Grünanlage;-;-;-;4224;gewidmet;7070705;Franziusweg/ Rohrbachstr.;1
00008100:0012dd06;17264;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Am Bülowbogen;Bülowstr. 69;-;-;2985;gewidmet;7010104;Dennewitzplatz;1
00008100:0012d9a0;155;Tempelhof-Schöneberg;Tempelhof;Grünanlage;Friedensplatz;-;-;-;2150;gewidmet;7040403;Manteuffelstr.;0
00008100:0012d9ce;209;Tempelhof-Schöneberg;Mariendorf;Grünanlage;Ma-Damm - Ullsteinstr. - Grünzug;-;-;-;4376;gewidmet;7050501;Rathausstr.;1
00008100:0012dd00;17272;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Innsbrucker Platz - Grünanlage;-;-;-;6993;gewidmet;7030302;Ceciliengärten;0
00008100:0012db87;18881;Tempelhof-Schöneberg;Marienfelde;Grünanlage;Güteraussenring Marienfelde;zw. Motzener Str. und Diedersdorfer Weg;-;-;34775;gewidmet;7060604;Marienfelde Süd;1
00008100:0012d9b0;175;Tempelhof-Schöneberg;Marienfelde;Grünanlage;Freseteich - Grünanlage;-;-;-;20124;gewidmet;7060604;Marienfelde Süd;1
00008100:0012d9e4;187;Tempelhof-Schöneberg;Lichtenrade;Grünanlage;Steinplatz (Steinstr.);-;-;-;1422;gewidmet;7070703;John-Locke-Str.;0
00008100:0012d783;18050;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Vorarlberger Damm - Grünanlage;-;-;-;4279;gewidmet;7030303;Grazer Platz;0
00008100:0012db8e;18701;Tempelhof-Schöneberg;Schöneberg;Grünanlage;Prellerweg 1-3;-;-;-;493;gewidmet;7030303;Grazer Platz;0
00008100:000a6c92;321061;Neukölln;Britz;Grünanlage;Kienpfuhl Britz;-;-;-;8149;gewidmet;8020621;Mohriner Allee Nord;1
00008100:000a6bff;321681;Neukölln;Britz;Grünanlage;Buschkrugallee-Minigolfplatz;-;-;-;2029;gewidmet;8020622;Parchimer Allee;1
00008100:000a6c98;321042;Neukölln;Britz;Grünanlage;Onkel-Bräsig-Strasse;vor der Fritz - Karsen - Schule;-;-;3711;gewidmet;8020622;Parchimer Allee;1
00008100:000a6c94;321048;Neukölln;Britz;Grünanlage;Britzer Damm-Grünanlage;-;-;-;281;gewidmet;8020620;Tempelhofer Weg;1
00008100:0012d9a2;152;Tempelhof-Schöneberg;Tempelhof;Grünanlage;Ringstr. Nord - Grünzug u. Promenade;Mariendorfer-Hafen-Weg;-;-;7841;gewidmet;7040404;Marienhöhe;1
00008100:0012d9e0;221;Tempelhof-Schöneberg;Marienfelde;Grünanlage;Maximilian-Kaller-Str. - Grünzug;-;-;-;12650;gewidmet;7060601;Marienfelder Allee Nordwest;1
00008100:0012dcfb;17274;Tempelhof-Schöneberg;Friedenau;Grünanlage;Cosimaplatz;-;-;-;1572;gewidmet;7030301;Friedenau;0
00008100:0012d9b1;173;Tempelhof-Schöneberg;Marienfelde;Grünanlage;Hampelsche Baumschule - Grünanlage;-;-;-;29439;gewidmet;7060604;Marienfelde Süd;1
00008100:0012d9d8;136;Tempelhof-Schöneberg;Marienfelde;Grünanlage;FZP Marienfelde - Grünanlage;-;-;-;382180;gewidmet;7060604;Marienfelde Süd;1
00008100:000a6c95;321047;Neukölln;Britz;Grünanlage;Schulvorplatz Britzer Damm;-;-;-;4775;gewidmet;8020620;Tempelhofer Weg;1
