technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:001c685f;10041;Treptow-Köpenick;Alt-Treptow;Grünanlage;Lohmühlenstraße/ Görlitzer Bahndamm AT GA;Sonderfall, angemietet von der Bahn;-;-;22298;-;9010101;Elsenstr.;1
00008100:001c66fd;60111;Treptow-Köpenick;Altglienicke;Grünanlage;Lehmusstraße/ Altglienicker Aue Ag GA;-;-;-;21538;gewidmet;9030903;Kölner Viertel;1
00008100:001c6704;60071;Treptow-Köpenick;Altglienicke;Grünanlage;Gerosteig /Ortolfstraße Ag GA;-;-;-;18528;gewidmet;9030902;Wohngebiet II;1
00008100:001c6962;100291;Treptow-Köpenick;Köpenick;Grünanlage;Mahlsdorfer Straße/ Gehsener Straße Köp GA;(6b/2-7);-;-;3004;gewidmet;9052001;Köpenick-Nord;0
00008100:001c69ab;110041;Treptow-Köpenick;Friedrichshagen;Grünanlage;Aßmannstraße/ Charlotte-E.-Pauly-Straße Fr GA;(Hinterland);-;-;5165;gewidmet;9051702;Bölschestraße;1
00008100:001c69fd;110151;Treptow-Köpenick;Friedrichshagen;Grünanlage;Werlseestraße/ Wendeschleife Fr GA;(6a/9-18) am Müggelseedamm;-;-;7118;gewidmet;9051702;Bölschestraße;1
00008100:001c6a2a;100411;Treptow-Köpenick;Köpenick;Grünanlage;Salvador-Allende-Straße/ Uferpromenade Köp GA;(6a/7-10);-;-;10859;gewidmet;9041402;Allende II;1
00008100:0024357b;90171;Treptow-Köpenick;Oberschöneweide;Grünanlage;An der Wuhlheide 161_Volkspark Ob GA;Volkspark Wuhlheide - übliche GA;-;-;3482.2;gewidmet;9020502;Oberschöneweide Ost;1
00008100:00251ee7;120071;Treptow-Köpenick;Rahnsdorf;Grünanlage;Wolfgang-Steinitz-Straße/ Lagunenweg Ra GA;naturnahe Parkanlage;-;-;21472.8;gewidmet;9051801;Rahnsdorf/Hessenwinkel;1
00008100:0024357a;100511;Treptow-Köpenick;Köpenick;Grünanlage;Freiheit 14 Köp GA;-;-;-;50;-;9041501;Altstadt-Kietz;0
00008100:00278a36;60351;Treptow-Köpenick;Altglienicke;Grünanlage;Korkedamm Ag GA;-;-;-;562;gewidmet;9030901;Dorf Altglienicke;0
00008100:00199213;278;Marzahn-Hellersdorf;Marzahn;Grünanlage;Hain der Freundschaft;zw. Bärensteinstr. u. Kienbergstr.;1985;-;20833.1;gewidmet;10010310;Alt-Marzahn;1
00008100:0019943a;209;Marzahn-Hellersdorf;Marzahn;Grünanlage;Schönagelstraße/ Blumberger Damm;Kiezpark südlich Turnhalle/ Sportplatz;1998;2019;14180;gewidmet;10010206;Ringkolonnaden;0
00008100:001c6a24;140021;Treptow-Köpenick;Müggelheim;Grünanlage;Odernheimer Straße 13 Mü GA;-;-;-;38373;gewidmet;9041601;Müggelheim;1
00008100:001c6a2d;100211;Treptow-Köpenick;Köpenick;Grünanlage;Kirchstraße/ Laurentiuskirchplatz Köp GA;Sonderfall  zur Pflege, Vertrag Stadt und Kirche;-;-;2450;-;9041501;Altstadt-Kietz;1
00008100:001c6a1e;100231;Treptow-Köpenick;Köpenick;Grünanlage;Lienhardweg/ Wendenschloßstraße Köp GA;Lienhardplatz (6a/4-4);-;-;2561;gewidmet;9041302;Wendenschloß;0
00008100:001c68ac;90111;Treptow-Köpenick;Oberschöneweide;Grünanlage;Treskowallee 175-211/ GUS Ob GA;GUS-Flächen;-;-;255998;gewidmet;9020501;Oberschöneweide West;1
00008100:001c6a0c;150021;Treptow-Köpenick;Schmöckwitz;Grünanlage;Alt-Schmöckwitz/ Wendeschleife Sch GA;Dorfplatz ;-;-;1978;gewidmet;9031202;Schmöckwitz/Rauchfangswerder;0
00008100:001c6787;20041;Treptow-Köpenick;Plänterwald;Grünanlage;Köpenicker Landstraße/ S-Bhf. Vorplatz Pl GA;S-Bhf.Plänterwald, Vorpl. mit Brunnen;-;-;5062;gewidmet;9010201;Am Treptower Park Süd;0
00008100:001c6a7f;90061;Treptow-Köpenick;Oberschöneweide;Grünanlage;Griechische Allee Ob GA;Griechischer Park (6a/10-1);-;-;11192.5;gewidmet;9020501;Oberschöneweide West;1
00008100:001c64a7;70061;Treptow-Köpenick;Adlershof;Grünanlage;Ludwig-Boltzmannstraße/ Linse Ahof GA;-;-;-;10085;gewidmet;9020701;Adlershof West;1
00008100:00199190;265;Marzahn-Hellersdorf;Marzahn;Grünanlage;Grünzug nördl.Pekrun b.Rebhuhnweg, ;Manksweg/Scheibenbergstr./Blenheimstr.;1982;-;25977.4;gewidmet;10010310;Alt-Marzahn;1
