,PLR,PLR_NAME,PLZ
236,6040807,Zehlendorf Eiche,"['14163', '14169', '14195']"
237,6040809,Thielallee,"['12203', '12205', '14169', '14195']"
238,7010101,Wittenbergplatz/Viktoria-Luise-Platz,"['10777', '10779', '10781', '10787', '10789']"
239,7010102,Nollendorfplatz,"['10777', '10779', '10781', '10783', '10785', '10787', '10789']"
240,7010103,Barbarossaplatz,"['10779', '10781', '10783', '10823']"
241,7010104,Dennewitzplatz,"['10781', '10783', '10785', '10823', '10827', '10829', '10965']"
242,7020201,Bayerischer Platz,"['10779', '10781', '10823', '10825']"
243,7020202,Volkspark (Rudolf-Wilde-Park),"['10715', '10823', '10825', '10827', '12159']"
244,7020203,Kaiser-Wilhelm-Platz,"['10781', '10823', '10825', '10827', '10829']"
245,3020203,Blankenfelde,"['13127', '13158', '13159', '13469']"
246,6030504,Teltower Damm,"['14165', '14167']"
247,6030605,Botanischer Garten,"['12165', '12203', '12205', '14169', '14195']"
248,6030606,Hindenburgdamm,"['12165', '12167', '12203', '12207', '12247']"
249,6030608,Schweizer Viertel,"['12205', '12207', '14167']"
250,6030609,Augustaplatz,"['12165', '12203', '12205', '12207']"
251,6030610,Lichterfelde West,"['12203', '12205', '12207', '14167', '14169']"
252,7030302,Ceciliengärten,"['10827', '10829', '12157', '12159', '12161']"
253,7030303,Grazer Platz,"['10827', '10829', '12105', '12157', '12159', '12169']"
254,7040401,Neu-Tempelhof,"['10829', '10965', '12099', '12101', '12103']"
255,7040402,Lindenhofsiedlung,"['10829', '12103', '12105', '12157']"
256,7050505,Hundsteinweg,"['12107', '12109', '12347', '12349']"
257,7050506,Birnhornweg,"['12107', '12277', '12305']"
258,7060601,Marienfelder Allee Nordwest,"['12249', '12277', '12279']"
259,7060602,Kirchstraße,"['12277', '12279']"
260,7060603,Marienfelde Nordost,"['12107', '12249', '12277', '12305', '12307']"
261,7060604,Marienfelde Süd,"['12209', '12277', '12279', '12307']"
262,7020204,Schöneberger Insel,"['10827', '10829', '10965', '12101', '12103']"
263,7030301,Friedenau,"['10715', '10827', '12159', '12161', '12163', '14197']"
264,7040403,Manteuffelstraße,"['10829', '12099', '12103', '12105', '12109']"
265,7040404,Marienhöhe,"['12105', '12169', '12247']"
266,7040405,Rathaus Tempelhof,"['12099', '12109', '12347']"
267,7040406,Germaniagarten,"['12051', '12099', '12347']"
268,7050501,Rathausstraße,"['12099', '12105', '12107', '12109', '12247', '12249']"
269,7050502,Fritz-Werner-Straße,"['12107', '12249', '12277']"
270,7050503,Eisenacher Straße,"['12099', '12107', '12109']"
271,7050504,Imbrosweg,"['12099', '12107', '12109', '12347']"
272,7070707,Wittelsbacherstraße,['12309']
273,8010115,Hasenheide,"['10961', '10965', '10967', '12049', '12051', '12099']"
274,8010116,Wissmannstraße,"['10965', '10967', '12049']"
275,8010117,Schillerpromenade,"['10965', '12049', '12053']"
276,8010118,Silbersteinstraße,"['12049', '12051', '12053', '12099', '12347']"
277,8010211,Flughafenstraße,"['12043', '12049', '12053']"
278,8010212,Rollberg,"['12043', '12049', '12053']"
279,8010213,Körnerpark,"['12043', '12049', '12051', '12053', '12055']"
280,8010214,Glasower Straße,"['12051', '12055', '12057', '12347', '12359']"
281,8010301,Reuterkiez,"['10967', '12043', '12045', '12047', '12059']"
282,8010302,Bouchéstraße,"['10999', '12045', '12059', '12435']"
283,8010303,Donaustraße,"['10967', '12043', '12045', '12047', '12049', '12053']"
284,8010404,Rixdorf,"['12043', '12045', '12053', '12055', '12059']"
285,8010405,Hertzbergplatz,"['12045', '12059']"
286,8010406,Treptower Straße Nord,"['12045', '12057', '12059']"
287,8010407,Gewerbegebiet Ederstraße,"['12057', '12059']"
288,8020620,Tempelhofer Weg,"['12099', '12347', '12349']"
289,8020621,Mohriner Allee Nord,"['12107', '12347', '12349']"
290,8010508,Weiße Siedlung,"['12055', '12057', '12059', '12435']"
291,8010509,Schulenburgpark,"['12057', '12437']"
292,7070701,Kettinger Straße/Schillerstraße,"['12107', '12277', '12305', '12307', '12349']"
293,7070702,Alt-Lichtenrade/Töpchiner Weg,"['12305', '12309', '12349']"
294,7070703,John-Locke-Straße,"['12305', '12307', '12309']"
295,7070704,Nahariyastraße,"['12305', '12309']"
296,7070705,Franziusweg/Rohrbachstraße,"['12277', '12305', '12307']"
297,7070706,Horstwalder Straße/Paplitzer Straße,"['12307', '12309']"
298,8020622,Parchimer Allee,"['12347', '12349', '12351', '12359']"
299,8020623,Ortolanweg,"['12351', '12357', '12359', '12437']"
300,8030830,Gropiusstadt Süd,"['12351', '12353']"
301,8030831,Gropiusstadt Ost,"['12351', '12353', '12355', '12357']"
302,8040932,Goldhähnchenweg,"['12351', '12359']"
303,9010301,Baumschulenstraße,"['12057', '12437', '12439', '12459']"
304,9010401,Johannisthal West,"['12357', '12437', '12487']"
305,8010510,Gewerbegebiet Köllnische Heide,"['12055', '12057', '12059', '12359', '12437']"
306,8020619,Buschkrugallee Nord,"['12051', '12057', '12347', '12359', '12437']"
307,8041040,Waltersdorfer Chaussee Ost,"['12355', '12524']"
308,9010101,Elsenstraße,"['10997', '12045', '12059', '12435']"
309,9020501,Oberschöneweide West,"['10318', '12437', '12439', '12459']"
310,9041601,Müggelheim,"['12527', '12559', '12589']"
311,9051801,Rahnsdorf/Hessenwinkel,"['12559', '12587', '12589']"
312,8020624,Britzer Garten,"['12347', '12349']"
313,8020625,Handwerker-Siedlung,"['12349', '12351', '12359']"
314,8020726,Buckow West,"['12107', '12305', '12309', '12349']"
315,8020727,Buckow Mitte,"['12309', '12349', '12353']"
316,8020728,Buckow Ost,"['12349', '12351', '12353']"
317,8030829,Gropiusstadt Nord,"['12351', '12353', '12359']"
318,9010402,Johannisthal Ost,"['12355', '12357', '12487', '12489']"
319,9020502,Oberschöneweide Ost,"['10318', '12439', '12459', '12555']"
320,9020601,Schnellerstraße,"['12437', '12439', '12459', '12487', '12489', '12555']"
321,8040933,Vogelviertel Süd,"['12351', '12359']"
322,8040934,Vogelviertel Nord,"['12351', '12359']"
323,8041035,Blumenviertel,"['12351', '12353', '12357', '12359']"
324,8041036,Zittauer Straße,"['12353', '12355', '12357']"
325,8041037,Alt-Rudow,"['12355', '12357', '12487', '12489', '12524']"
326,8041038,Waßmannsdorfer Chaussee,"['12355', '12357']"
327,8041039,Frauenviertel,['12355']
