,PLR,PLR_NAME,PLZ
328,9020801,Spindlersfeld,"['12439', '12489', '12555', '12557']"
329,9020802,Köllnische Vorstadt,"['12489', '12527', '12555', '12557']"
330,9030901,Dorf Altglienicke,"['12355', '12489', '12524', '12526', '12527']"
331,9030902,Wohngebiet II,['12524']
332,9030903,Kölner Viertel,"['12524', '12526']"
333,9031001,Bohnsdorf,"['12524', '12526', '12527']"
334,9031101,Grünau,"['12489', '12524', '12526', '12527', '12557', '12559']"
335,9010102,Am Treptower Park Nord,"['10245', '12435']"
336,9010201,Am Treptower Park Süd,"['12057', '12059', '12435']"
337,9010202,Köpenicker Landstraße,"['10317', '12057', '12435', '12437', '12459']"
338,9010302,Späthsfelde,"['12057', '12357', '12359', '12437', '12487']"
339,9031201,Karolinenhof,"['12527', '12559']"
340,9041302,Wendenschloß,"['12527', '12557']"
341,9051701,Hirschgarten,"['12555', '12559', '12587']"
342,9051702,Bölschestraße,"['12559', '12587', '12589']"
343,9051901,Dammvorstadt,"['12439', '12459', '12555', '12557', '12559', '12587']"
344,9052001,Köpenick Nord,"['10318', '12459', '12555', '12587', '12621', '12623', '12683']"
345,10010101,Marzahn West,"['12681', '12689', '13057']"
346,10010102,Havemannstraße,"['12679', '12689', '13057']"
347,10010203,Gewerbegebiet Bitterfelder Straße,"['12681', '12689', '13053', '13057']"
348,10010308,Marzahner Chaussee,"['10315', '12681', '12683', '13053']"
349,10010310,Alt-Marzahn,"['12679', '12681', '12683', '12685']"
350,10010311,Landsberger Tor,"['12619', '12629', '12679', '12683', '12685']"
351,10020415,Hellersdorfer Promenade,['12627']
352,10020416,Böhlener Straße,['12627']
353,9020602,Oberspree,"['12439', '12487', '12489']"
354,9020701,Adlershof West,"['12355', '12439', '12487', '12489', '12524']"
355,9020702,Adlershof Ost,"['12439', '12489', '12555', '12557']"
356,11010207,Wartenberg Nord,"['13051', '13059']"
357,11010308,Zingster Straße Ost,"['13051', '13053']"
358,10010204,Wuhletalstraße,"['12679', '12681', '12687', '12689']"
359,10010205,Marzahn Ost,"['12629', '12679', '12689']"
360,10010206,Ringkolonnaden,"['12679', '12681', '12685', '12687']"
361,10010207,Marzahner Promenade,"['12679', '12681']"
362,10010309,Springpfuhl,"['12681', '12683', '12685']"
363,10020412,Alte Hellersdorfer Straße,"['12627', '12629', '12679', '12685']"
364,10020413,Gut Hellersdorf,"['12619', '12627', '12629', '12685']"
365,10020414,Helle Mitte,['12627']
366,10040828,Kaulsdorf Nord,"['12619', '12621', '12623', '12627']"
367,10040829,Alt-Kaulsdorf,"['12619', '12621', '12623', '12683']"
368,10040830,Kaulsdorf Süd,"['12555', '12621', '12623', '12683']"
369,10040931,Mahlsdorf Nord,"['12621', '12623', '12627']"
370,10040932,Alt-Mahlsdorf,"['12621', '12623']"
371,10040933,Mahlsdorf Süd,"['12555', '12621', '12623']"
372,11010101,Dorf Malchow,"['13051', '13088', '13129']"
373,11010102,Dorf Wartenberg,"['13051', '13057', '13059']"
374,11010103,Dorf Falkenberg,"['12681', '12689', '13057', '13059']"
375,11010204,Falkenberg Ost,"['12681', '13057', '13059']"
376,11010205,Falkenberg West,"['12681', '13051', '13053', '13057', '13059']"
377,11010206,Wartenberg Süd,['13059']
378,11020515,Landsberger Allee,"['10365', '10367', '10369', '13053', '13055']"
379,11020516,Weiße Taube,"['10315', '10365', '12681', '13053', '13055']"
380,10020517,Adele-Sandrock-Straße,"['12623', '12627']"
381,10020518,Schleipfuhl,"['12621', '12623', '12627']"
382,10020519,Boulevard Kastanienallee,"['12619', '12621', '12627']"
383,10020620,Kaulsdorf Nord II,"['12619', '12629', '12685']"
384,10020621,Gelbes Viertel,"['12619', '12621']"
385,10020622,Kaulsdorf Nord I,"['12619', '12621', '12683']"
386,10020623,Rotes Viertel,"['12619', '12621']"
387,10030724,Oberfeldstraße,"['12681', '12683', '12685']"
388,10030725,Buckower Ring,"['12619', '12683']"
389,10030726,Alt-Biesdorf,"['10319', '12619', '12683']"
390,10030727,Biesdorf Süd,"['10318', '10319', '12555', '12621', '12683']"
391,12214422,Klixstraße,"['13403', '13405', '13509']"
392,12214423,Mellerbogen,['13403']
393,12214424,Scharnweberstraße,"['13349', '13403', '13405']"
394,12214527,Alt-Tegel,"['13503', '13505', '13507', '13509']"
395,12224229,Konradshöhe/Tegelort,"['13505', '13587']"
396,12224230,Heiligensee,"['13503', '13505']"
397,12231102,Frohnau,"['13465', '13467', '13503']"
398,12301203,Wittenau Süd,"['13403', '13407', '13435', '13437', '13439', '13509']"
399,12301204,Wittenau Nord,"['13435', '13437', '13469', '13509']"
400,12301205,Waidmannslust,"['13437', '13467', '13469', '13509']"
401,12302107,Schorfheidestraße,"['13435', '13439']"
402,12302211,Lübarser Straße,"['13435', '13437', '13469']"
403,12304314,Ziekowstraße/Freie Scholle,"['13437', '13467', '13469', '13503', '13507', '13509']"
404,12302108,Märkisches Zentrum,"['13435', '13439', '13469']"
405,12302109,Treuenbrietzener Straße,"['13158', '13435', '13439']"
406,9041403,Allende II,"['12557', '12559', '12587']"
407,12302110,Dannenwalder Weg,"['13158', '13435', '13437', '13439']"
408,12302212,Rollbergesiedlung,"['13435', '13437', '13469']"
409,12304313,Borsigwalde,"['13403', '13437', '13507', '13509']"
410,9041501,Altstadt Kietz,"['12555', '12557', '12559']"
411,9041402,Siedlung Kämmereiheide,"['12559', '12587']"
412,11010309,Zingster Straße West,"['13051', '13088']"
413,11010310,Mühlengrund,"['12681', '13051', '13053', '13057', '13059']"
414,11020411,Malchower Weg,"['13051', '13053', '13088']"
415,11020412,Hauptstraße,"['12681', '13053', '13055']"
416,9041401,Allende I,"['12555', '12559']"
417,11020513,Orankesee,"['10369', '13053', '13055', '13088']"
418,11020514,Große-Leege-Straße,"['13053', '13055']"
419,11030617,Hohenschönhausener Straße,"['10369', '10407', '13053', '13055']"
420,11030618,Fennpfuhl West,"['10249', '10367', '10369', '10407']"
421,11030619,Fennpfuhl Ost,"['10365', '10367', '10369']"
422,11030720,Herzbergstraße,"['10315', '10365', '10367', '12681', '13055']"
423,11030721,Rüdigerstraße,"['10247', '10249', '10315', '10317', '10365', '10367', '10369']"
424,11030824,Frankfurter Allee Süd,"['10245', '10247', '10317', '10365']"
425,11040925,Victoriastadt,"['10245', '10317', '10365']"
