FID,gml_id,spatial_na,spatial_al,spatial_ty,PLRNAME,BZRNAME,PGRNAME,BEZNAME,DATUM,SHAPE_Length,SHAPE_Area
46,re_planungsraum.02020201,02020201,Gleisdreieck/Entwicklungsgebiet,Polygon,Gleisdreieck/Entwicklungsgebiet,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,5996.87176476623,1986274.26268913
47,re_planungsraum.02020202,02020202,Rathaus Yorckstraße,Polygon,Rathaus Yorckstraße,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,4328.83968950693,1053276.50253011
48,re_planungsraum.02020203,02020203,Viktoriapark,Polygon,Viktoriapark,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,6310.63978077232,2001448.53509192
49,re_planungsraum.02020204,02020204,Urbanstraße,Polygon,Urbanstraße,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,7091.15414687048,2485301.86037408
50,re_planungsraum.02020205,02020205,Chamissokiez,Polygon,Chamissokiez,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,7382.80308658849,2630797.76978293
51,re_planungsraum.02020206,02020206,Graefekiez,Polygon,Graefekiez,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,7965.6567496774,2650862.81556272
52,re_planungsraum.02030301,02030301,Oranienplatz,Polygon,Oranienplatz,Nördliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,5728.41521261088,1295606.1478374
53,re_planungsraum.02030302,02030302,Lausitzer Platz,Polygon,Lausitzer Platz,Nördliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,7002.8965172321,2215274.56745622
54,re_planungsraum.02030401,02030401,Reichenberger Straße,Polygon,Reichenberger Straße,Südliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,7152.50441918191,2512060.82486035
55,re_planungsraum.02030402,02030402,Wrangelkiez,Polygon,Wrangelkiez,Südliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,5951.4456678708,1419032.04263337
56,re_planungsraum.02040501,02040501,Barnimkiez,Polygon,Barnimkiez,Karl-Marx-Allee Nord,Friedrichshain West,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,8218.32465388743,2538987.59250015
57,re_planungsraum.02040502,02040502,Friedenstraße,Polygon,Friedenstraße,Karl-Marx-Allee Nord,Friedrichshain West,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,6275.39689451268,1818286.35823421
58,re_planungsraum.02040503,02040503,Richard-Sorge-Viertel,Polygon,Richard-Sorge-Viertel,Karl-Marx-Allee Nord,Friedrichshain West,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,6509.92407873192,1495764.08011377
59,re_planungsraum.02040701,02040701,Andreasviertel,Polygon,Andreasviertel,Karl-Marx-Allee Süd,Friedrichshain West,Friedrichshain-Kreuzberg,2006-08-04T00:00:00,6957.28404674026,2638080.94681149
60,re_planungsraum.02040702,02040702,Weberwiese,Polygon,Weberwiese,Karl-Marx-Allee Süd,Friedrichshain West,Friedrichshain-Kreuzberg,2006-08-04T00:00:00,5304.18684018394,1460092.2280451
61,re_planungsraum.02040703,02040703,Wriezener Bahnhof/Entwicklungsgebiet,Polygon,Wriezener Bahnhof/Entwicklungsgebiet,Karl-Marx-Allee Süd,Friedrichshain West,Friedrichshain-Kreuzberg,2006-08-04T00:00:00,7617.38795180923,2394096.31932796
62,re_planungsraum.02050601,02050601,Hausburgviertel,Polygon,Hausburgviertel,Frankfurter Allee Nord,Friedrichshain Ost,Friedrichshain-Kreuzberg,2008-04-09T00:00:00,4070.21083847901,834591.530955088
63,re_planungsraum.02050602,02050602,Samariterviertel,Polygon,Samariterviertel,Frankfurter Allee Nord,Friedrichshain Ost,Friedrichshain-Kreuzberg,2006-08-04T00:00:00,7513.71847814095,2616002.30290726
64,re_planungsraum.02050801,02050801,Traveplatz,Polygon,Traveplatz,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,7255.22414323095,2112564.72431704
65,re_planungsraum.02050802,02050802,Boxhagener Platz,Polygon,Boxhagener Platz,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,6835.46821485832,2245608.51506154
66,re_planungsraum.02050803,02050803,Stralauer Kiez,Polygon,Stralauer Kiez,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,8911.44736999077,3651432.80737532
67,re_planungsraum.02050804,02050804,Stralauer Halbinsel,Polygon,Stralauer Halbinsel,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain-Kreuzberg,2006-06-14T00:00:00,8856.7574657909,3007924.4472917
68,re_planungsraum.03010101,03010101,Bucher Forst,Polygon,Bucher Forst,Buch,Buch,Pankow,2006-06-14T00:00:00,36653.4211020602,35616774.8362972
69,re_planungsraum.03010102,03010102,Buch,Polygon,Buch,Buch,Buch,Pankow,2006-06-14T00:00:00,16983.7148569702,11831792.852779
70,re_planungsraum.03010104,03010104,Lietzengraben,Polygon,Lietzengraben,Buch,Buch,Pankow,2006-06-14T00:00:00,18652.658097518,14859049.0854834
71,re_planungsraum.03020203,03020203,Blankenfelde,Polygon,Blankenfelde,Blankenfelde/Niederschönhausen,Nördliches Pankow,Pankow,2006-06-14T00:00:00,31749.6506025312,35400362.028921
72,re_planungsraum.03020209,03020209,Niederschönhausen,Polygon,Niederschönhausen,Blankenfelde/Niederschönhausen,Nördliches Pankow,Pankow,2006-06-14T00:00:00,16413.601669216,9508047.03553078
73,re_planungsraum.03020210,03020210,Herthaplatz,Polygon,Herthaplatz,Blankenfelde/Niederschönhausen,Nördliches Pankow,Pankow,2006-06-14T00:00:00,11771.354510597,8337004.03505442
74,re_planungsraum.03020307,03020307,Buchholz,Polygon,Buchholz,Buchholz,Nördliches Pankow,Pankow,2006-06-14T00:00:00,17807.0540672689,17511446.6550357
75,re_planungsraum.03030405,03030405,Karow Nord,Polygon,Karow Nord,Karow,Nördliches Weißensee,Pankow,2006-06-14T00:00:00,9808.63843869108,4518360.97079904
76,re_planungsraum.03030406,03030406,Alt-Karow,Polygon,Alt-Karow,Karow,Nördliches Weißensee,Pankow,2006-06-14T00:00:00,15799.0893434348,13377213.757685
77,re_planungsraum.03030711,03030711,Blankenburg,Polygon,Blankenburg,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,Pankow,2008-04-09T00:00:00,20675.8279186719,15914231.9334218
78,re_planungsraum.03030715,03030715,Heinersdorf,Polygon,Heinersdorf,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,Pankow,2008-04-09T00:00:00,14297.4213059323,10561633.9559307
79,re_planungsraum.03030716,03030716,Märchenland,Polygon,Märchenland,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,Pankow,2008-04-09T00:00:00,22493.3372547127,15755326.3717108
80,re_planungsraum.03040508,03040508,Rosenthal,Polygon,Rosenthal,Schönholz/Wilhelmsruh/Rosenthal,Südliches Pankow,Pankow,2008-04-09T00:00:00,11471.288069194,4866244.36734967
