,PLR,PLZ
410,11041023,"['10315', '10319', '12681', '12683']"
411,11041027,"['10315', '10318', '10319', '12683']"
412,11041128,"['10315', '10317', '10318', '10319']"
413,11051229,"['10245', '10317', '10318', '10319', '12435', '12437', '12459']"
414,11051330,"['10317', '10318', '10319']"
415,11051331,"['10318', '12459', '12555', '12683']"
416,11051332,"['10317', '10318', '12459']"
417,12103115,"['13407', '13409']"
418,12103116,"['13156', '13158', '13187', '13359', '13407', '13409']"
419,12103117,"['13349', '13359', '13407', '13409']"
420,12103218,"['13158', '13403', '13405', '13407', '13409', '13437']"
421,12103219,"['13349', '13403', '13405', '13407', '13409']"
422,12103220,"['13403', '13407', '13437']"
423,12214125,"['13403', '13405', '13507', '13509', '13599', '13627', '13629']"
424,12214126,['13507']
425,12214421,"['13403', '13407', '13437']"
426,12214422,"['13403', '13405', '13509']"
427,12214423,['13403']
428,12214424,"['13349', '13403', '13405']"
429,12214527,"['13503', '13505', '13507', '13509']"
430,12214528,"['13465', '13467', '13503', '13505', '13507', '13587', '13599']"
431,12224229,"['13505', '13587']"
432,12224230,"['13503', '13505']"
433,12231101,"['13465', '13467', '13469', '13503', '13509']"
434,12231102,"['13465', '13467', '13503']"
435,12301203,"['13403', '13407', '13435', '13437', '13439', '13509']"
436,12301204,"['13435', '13437', '13469', '13509']"
437,12301205,"['13437', '13467', '13469', '13509']"
438,12301206,"['13158', '13159', '13435', '13439', '13467', '13469']"
439,12302107,"['13435', '13439']"
440,12302108,"['13435', '13439', '13469']"
441,12302109,"['13158', '13435', '13439']"
442,12302110,"['13158', '13435', '13437', '13439']"
443,12302211,"['13435', '13437', '13469']"
444,12302212,"['13435', '13437', '13469']"
445,12304313,"['13403', '13437', '13507', '13509']"
446,12304314,"['13437', '13467', '13469', '13503', '13507', '13509']"
