,PLZ,PLR
103,12487,"[9010401, 9010402, 9020601, 8041037, 9010302, 9020602, 9020701]"
104,12489,"[9010402, 9020601, 8041037, 9020801, 9020802, 9030901, 9031101, 9020602, 9020701, 9020702]"
105,12524,"[8041040, 8041037, 9030901, 9030902, 9030903, 9031001, 9031101, 9020701]"
106,12526,"[9030901, 9030903, 9031001, 9031101]"
107,12527,"[9031202, 9041601, 9020802, 9030901, 9031001, 9031101, 9031201, 9041302, 9041301]"
108,12555,"[9020502, 9020601, 9020801, 9020802, 9051701, 9051901, 9052001, 9020702, 10040830, 10040933, 10030727, 9041501, 9041401, 9041301, 11051331]"
109,12557,"[9020801, 9020802, 9031101, 9041302, 9051901, 9020702, 9041403, 9041501, 9041301]"
110,12559,"[9031202, 9041601, 9051801, 9031101, 9031201, 9051701, 9051702, 9051901, 9041403, 9041501, 9041402, 9041401, 9041301]"
111,12587,"[9051801, 9051701, 9051702, 9051901, 9052001, 9041403, 9041402]"
112,12589,"[9041601, 9051801, 9051702, 9041301]"
113,12619,"[10010311, 10020413, 10040828, 10040829, 10020519, 10020620, 10020621, 10020622, 10020623, 10030725, 10030726]"
114,12621,"[9052001, 10040828, 10040829, 10040830, 10040931, 10040932, 10040933, 10020518, 10020519, 10020621, 10020622, 10020623, 10030727]"
115,12623,"[9052001, 10040828, 10040829, 10040830, 10040931, 10040932, 10040933, 10020517, 10020518]"
116,12627,"[10020415, 10020416, 10020412, 10020413, 10020414, 10040828, 10040931, 10020517, 10020518, 10020519]"
117,12629,"[10010311, 10010205, 10020412, 10020413, 10020620]"
118,12679,"[10010102, 10010310, 10010311, 10010204, 10010205, 10010206, 10010207, 10020412]"
119,12681,"[10010101, 10010203, 10010308, 10010310, 10010204, 10010206, 10010207, 10010309, 11010103, 11010204, 11010205, 11020516, 10030724, 11010310, 11020412, 11030720, 11041022, 11041023]"
120,12683,"[9052001, 10010308, 10010310, 10010311, 10010309, 10040829, 10040830, 10020622, 10030724, 10030725, 10030726, 10030727, 11041023, 11041027, 11051331]"
121,12685,"[10010310, 10010311, 10010206, 10010309, 10020412, 10020413, 10020620, 10030724]"
122,12687,"[10010204, 10010206]"
123,12689,"[10010101, 10010102, 10010203, 10010204, 10010205, 11010103]"
124,13051,"[3030406, 3030711, 3030716, 3051017, 11010207, 11010308, 11010101, 11010102, 11010205, 11010309, 11010310, 11020411]"
125,13053,"[3050925, 3051017, 3051022, 10010203, 10010308, 11010308, 11010205, 11020515, 11020516, 11010310, 11020411, 11020412, 11020513, 11020514, 11030617]"
126,13055,"[11020515, 11020516, 11020412, 11020513, 11020514, 11030617, 11030720]"
127,13057,"[10010101, 10010102, 10010203, 11010102, 11010103, 11010204, 11010205, 11010310]"
128,13059,"[11010207, 11010102, 11010103, 11010204, 11010205, 11010206, 11010310]"
